사건의 지평선,윤하(Younha/ユンナ)
ANTIFRAGILE,LE SSERAFIM (르세라핌)
Nxde,(여자)아이들
Hype Boy,NewJeans
After LIKE,IVE (아이브)
새삥 (Prod. ZICO) (Feat. 호미들),지코
Attention,NewJeans
Shut Down,BLACKPINK
Rush Hour (Feat. j-hope of BTS),Crush
LOVE DIVE,IVE (아이브)
구해줘,허각
자격지심 (Feat. ZICO),BE'O (비오)
Monologue,버즈
Pink Venom,BLACKPINK
I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
우린 그렇게 사랑해서,강민경
Cookie,NewJeans
딱 10CM만,10CM
When I Get Old,Christopher(크리스토퍼)
TOMBOY,(여자)아이들
FEARLESS,LE SSERAFIM (르세라핌)
Anti-Hero,Taylor Swift(테일러 스위프트)
그라데이션,10CM
해요 (2022),#안녕
진심이었던 사람만 바보가 돼,권진아
ELEVEN,IVE (아이브)
다정히 내 이름을 부르면,경서예지
DICE,NMIXX
The Astronaut,진(Jin)
LAW (Prod. Czaer),윤미래
파노라마,이찬혁
That's Hilarious,Charlie Puth(찰리 푸스)
그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
ILLELLA (일낼라),마마무(Mamamoo)
개똥벌레 (영화 '동감' X 이무진),이무진
사랑인가 봐,멜로망스(MeloMance)
정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
집에 돌아가는 길 외롭다,먼데이 키즈(Monday Kiz)
나의 X에게,경서
너의 모든 순간,성시경
LOVE me,BE'O (비오)
Dangerously,Charlie Puth(찰리 푸스)
드라마,아이유(IU)
GHOST TOWN,Benson Boone
도깨비불 (Illusion),aespa
내가 아니라도,주호
Talk that Talk,TWICE (트와이스)
Unholy,Sam Smith(샘 스미스)
FOREVER 1,소녀시대 (GIRLS' GENERATION)
떠나보낼 준비해 둘걸 그랬어,임한별
SNEAKERS,ITZY (있지)
보고싶었어,WSG워너비 (4FIRE)
그래서 그대는,이영현
STAY,The Kid LAROI
주저하는 연인들을 위해,잔나비
내 기쁨은 너가 벤틀리를 끄는 거야,김승민
I Ain't Worried,OneRepublic(원리퍼블릭)
Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
strawberry moon,아이유(IU)
Love story,볼빨간사춘기
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
고백연습,경서
Change,(여자)아이들
Feel My Rhythm,Red Velvet (레드벨벳)
INVU,태연 (TAEYEON)
스티커 사진,21학번
취중고백,김민석 (멜로망스)
사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
That That (prod. & feat. SUGA of BTS),싸이 (PSY)
사랑은 늘 도망가,임영웅
봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
우리가 남이 된다면,노을
신호등,이무진
MY BAG,(여자)아이들
Off My Face,Justin Bieber(저스틴 비버)
POP!,나연 (TWICE)
가을밤에 든 생각,잔나비
못해,김나영
그때로 돌아가,로이킴
팡파레,다비치
No Celestial,LE SSERAFIM (르세라핌)
Remembered,박봄 (Park Bom)
첫사랑,백아(Baek A)
LOVE,(여자)아이들
Ready For Love,BLACKPINK
Youth,기현
Hurt,NewJeans
Girls,aespa
Impurities,LE SSERAFIM (르세라핌)
한 페이지가 될 수 있게,DAY6 (데이식스)
Next Level,aespa
LIMBO! (넘어와),NATURE (네이처)
새벽에 걸려온 너의 전화는,한동근
Generation,tripleS (트리플에스)
Loser,Charlie Puth(찰리 푸스)
Only You,소유 (SOYOU)
SUN GOES DOWN (Prod. R.Tee),저스디스(JUSTHIS)
이럴거면,전건호
DOMESTIC (팔각정),비
